Nombre,Apellido,Correo,Telefono,Ciudad
María,Rodríguez,maría.rodríguez@gmail.com,3102109815,Manizales
Andrea,Martínez,andrea.martínez@yahoo.com,3033592293,Cúcuta
Ana,López,ana.lópez@outlook.com,3196173505,Cali
Andrea,Torres,andrea.torres@hotmail.com,3149354133,Santa Marta
Luis,López,luis.lópez@yahoo.com,3124248283,Cartagena
Luis,Rodríguez,luis.rodríguez@utb.edu.co,3000306830,Bogotá
Pedro,Díaz,pedro.díaz@utb.edu.co,3167581949,Cali
Juan,Pérez,juan.pérez@outlook.com,3055300796,Cartagena
María,García,maría.garcía@utb.edu.co,3196564816,Bogotá
Ana,Martínez,ana.martínez@outlook.com,3127000783,Barranquilla
Luis,Fernández,luis.fernández@gmail.com,3008883350,Cúcuta
Sofía,Martínez,sofía.martínez@gmail.com,3042971090,Barranquilla
Andrea,López,andrea.lópez@hotmail.com,3116752210,Cali
Pedro,Díaz,pedro.díaz@outlook.com,3118458127,Cali
Patricia,Fernández,patricia.fernández@gmail.com,3003533026,Pereira
Javier,Torres,javier.torres@outlook.com,3150545757,Bucaramanga
Juan,García,juan.garcía@outlook.com,3121391788,Manizales
Ana,Fernández,ana.fernández@outlook.com,3128746391,Medellín
Sofía,García,sofía.garcía@outlook.com,3079131150,Santa Marta
María,Rodríguez,maría.rodríguez@yahoo.com,3040017364,Cúcuta
Javier,Torres,javier.torres@gmail.com,3075350644,Cartagena
Andrea,Gómez,andrea.gómez@gmail.com,3037706028,Bogotá
Javier,López,javier.lópez@outlook.com,3115940766,Barranquilla
Ana,García,ana.garcía@outlook.com,3193460270,Pereira
Sofía,Rodríguez,sofía.rodríguez@utb.edu.co,3061992480,Medellín
Andrea,Díaz,andrea.díaz@yahoo.com,3054283468,Santa Marta
Andrea,Díaz,andrea.díaz@gmail.com,3161636745,Cartagena
Pedro,López,pedro.lópez@outlook.com,3045823156,Cali
Juan,Gómez,juan.gómez@utb.edu.co,3000578071,Manizales
Juan,Díaz,juan.díaz@gmail.com,3172874909,Cali
Javier,Gómez,javier.gómez@gmail.com,3166935546,Santa Marta
Patricia,Ruiz,patricia.ruiz@yahoo.com,3173483773,Pereira
Ana,López,ana.lópez@gmail.com,3160824923,Santa Marta
Javier,Fernández,javier.fernández@utb.edu.co,3037443249,Cúcuta
Carlos,Pérez,carlos.pérez@yahoo.com,3028005319,Cartagena
Carlos,Pérez,carlos.pérez@outlook.com,3067953244,Medellín
Andrea,Martínez,andrea.martínez@gmail.com,3198265067,Barranquilla
Sofía,García,sofía.garcía@gmail.com,3111465540,Cúcuta
Juan,García,juan.garcía@hotmail.com,3105110193,Pereira
María,López,maría.lópez@hotmail.com,3036000011,Pereira
Carlos,Gómez,carlos.gómez@outlook.com,3114335367,Medellín
Juan,Perez,juan@perez.com,23453245634,Cartago
Juan,Perez,jpere@utb.edu.co,300334533,Cartago
Juana,De Arco,jdearco@utb.edu.co,3003074187,Cartagena
Juan Manuel,Gomez,jmgomez@utb.edu.co,231472398431,Cartagena
Ana,López,ana.lópez@utb.edu.co,3167013562,Medellín
Daniela,Pérez,daniela.pérez@utb.edu.co,3050482053,Cúcuta
Camila,Fernández,camila.fernández@gmail.com,3074049553,Bucaramanga
Luis,Pérez,luis.pérez@yahoo.com,3103883041,Bogotá
Daniela,López,daniela.lópez@utb.edu.co,3150191836,Bucaramanga
Andrés,Ruiz,andrés.ruiz@utb.edu.co,3018183397,Medellín
Luis,Gómez,luis.gómez@yahoo.com,3062845285,Cartagena
Sofía,Rodríguez,sofía.rodríguez@hotmail.com,3183839622,Santa Marta
Carlos,Martínez,carlos.martínez@gmail.com,3184230578,Manizales
Carlos,Gómez,carlos.gómez@gmail.com,3072259647,Pereira
Pedro,Ruiz,pedro.ruiz@gmail.com,3136351516,Bucaramanga
Pedro,López,pedro.lópez@yahoo.com,3029521801,Bogotá
Luis,Martínez,luis.martínez@utb.edu.co,3068421212,Barranquilla
Ana,Rodríguez,ana.rodríguez@yahoo.com,3035344211,Pereira
Camila,Rodríguez,camila.rodríguez@utb.edu.co,3074011494,Bogotá
Ana,Ramírez,ana.ramírez@yahoo.com,3039698678,Cartagena
Pedro,López,pedro.lópez@gmail.com,3023258096,Santa Marta
María,Sánchez,maría.sánchez@gmail.com,3155645904,Bogotá
Laura,Sánchez,laura.sánchez@hotmail.com,3103969640,Bogotá
Ana,López,ana.lópez@hotmail.com,3153194029,Cúcuta
Carlos,Gómez,carlos.gómez@utb.edu.co,3077155528,Cali
Pedro,López,pedro.lópez@utb.edu.co,3147259831,Pereira
María,Martínez,maría.martínez@gmail.com,3138648882,Medellín
María,Sánchez,maría.sánchez@hotmail.com,3027443024,Bogotá
María,Martínez,maría.martínez@utb.edu.co,3069029527,Cali
Sofía,Rodríguez,sofía.rodríguez@gmail.com,3101150333,Santa Marta
Sofía,Rodríguez,sofía.rodríguez@yahoo.com,3029472985,Cartagena
Camila,Fernández,camila.fernández@hotmail.com,3176208800,Barranquilla
Camila,Sánchez,camila.sánchez@utb.edu.co,3133060733,Cali
Daniela,Ruiz,daniela.ruiz@hotmail.com,3178192807,Pereira
Daniela,Sánchez,daniela.sánchez@utb.edu.co,3098839904,Manizales
Daniela,Ruiz,daniela.ruiz@utb.edu.co,3030306532,Cartagena
Andrés,Rodríguez,andrés.rodríguez@yahoo.com,3030617348,Cali
Daniela,Fernández,daniela.fernández@gmail.com,3087530341,Cartagena
Ana,Sánchez,ana.sánchez@utb.edu.co,3031809273,Bucaramanga
Camila,López,camila.lópez@gmail.com,3182464564,Cartagena
Sofía,Ruiz,sofía.ruiz@yahoo.com,3124406449,Cartagena
Daniela,Torres,daniela.torres@hotmail.com,3116368093,Cartagena
Camila,Ramírez,camila.ramírez@hotmail.com,3131767615,Cúcuta
Ana,Martínez,ana.martínez@utb.edu.co,3001815642,Bogotá
Daniela,Gómez,daniela.gómez@gmail.com,3154080286,Bogotá
Luis,López,luis.lópez@hotmail.com,3042844262,Bucaramanga
Sofía,Gómez,sofía.gómez@utb.edu.co,3195296753,Medellín
Andrés,Ramírez,andrés.ramírez@utb.edu.co,3146943314,Cúcuta
Sofía,Sánchez,sofía.sánchez@hotmail.com,3102788314,Medellín
Ana,Pérez,ana.pérez@hotmail.com,3129200981,Manizales
Camila,Martínez,camila.martínez@yahoo.com,3092103887,Santa Marta
Daniela,Fernández,daniela.fernández@utb.edu.co,3100244911,Barranquilla
Camila,Martínez,camila.martínez@gmail.com,3175878933,Bucaramanga
María,Rodríguez,maría.rodríguez@utb.edu.co,3058254789,Barranquilla
María,Ruiz,maría.ruiz@gmail.com,3072635974,Barranquilla
Ana,Ramírez,ana.ramírez@utb.edu.co,3097447729,Bucaramanga
Andrés,Torres,andrés.torres@hotmail.com,3121500928,Medellín
Andrés,Martínez,andrés.martínez@utb.edu.co,3192644618,Barranquilla
Sofía,Sánchez,sofía.sánchez@gmail.com,3019406318,Santa Marta
Daniela,Sánchez,daniela.sánchez@yahoo.com,3008840381,Cúcuta
Camila,Ruiz,camila.ruiz@utb.edu.co,3028345139,Manizales
Andrés,Ramírez,andrés.ramírez@yahoo.com,3040433835,Barranquilla
Camila,Torres,camila.torres@yahoo.com,3051570425,Cartagena
Ana,Pérez,ana.pérez@yahoo.com,3196312153,Manizales
Laura,Martínez,laura.martínez@yahoo.com,3062489900,Manizales
Daniela,Ramírez,daniela.ramírez@utb.edu.co,3032897648,Santa Marta
Pedro,Fernández,pedro.fernández@yahoo.com,3146394455,Pereira
Laura,Ruiz,laura.ruiz@utb.edu.co,3157514518,Santa Marta
Ana,Gómez,ana.gómez@utb.edu.co,3023866413,Pereira
Camila,Ruiz,camila.ruiz@yahoo.com,3186297581,Cartagena
Sofía,Martínez,sofía.martínez@yahoo.com,3105373226,Bucaramanga
Laura,Ramírez,laura.ramírez@gmail.com,3046233506,Santa Marta
Carlos,Martínez,carlos.martínez@utb.edu.co,3042561226,Manizales
Sofía,López,sofía.lópez@gmail.com,3062362462,Pereira
Laura,Ruiz,laura.ruiz@hotmail.com,3099846729,Cúcuta
Andrés,Gómez,andrés.gómez@gmail.com,3188766417,Santa Marta
Luis,Ruiz,luis.ruiz@gmail.com,3146767742,Bucaramanga
Carlos,López,carlos.lópez@yahoo.com,3129514287,Bucaramanga
Daniela,Martínez,daniela.martínez@gmail.com,3016821752,Barranquilla
Laura,Martínez,laura.martínez@gmail.com,3070416569,Medellín
Pedro,Martínez,pedro.martínez@utb.edu.co,3059472597,Barranquilla
Ana,Martínez,ana.martínez@yahoo.com,3074926720,Barranquilla
Carlos,López,carlos.lópez@utb.edu.co,3051114995,Barranquilla
Carlos,Fernández,carlos.fernández@hotmail.com,3107118110,Cali
María,Fernández,maría.fernández@hotmail.com,3163674895,Pereira
Camila,Pérez,camila.pérez@gmail.com,3013571752,Cúcuta
Daniela,Ramírez,daniela.ramírez@yahoo.com,3192418153,Cali
María,Gómez,maría.gómez@yahoo.com,3021109879,Bogotá
Camila,Sánchez,camila.sánchez@yahoo.com,3127298913,Santa Marta
Andrés,Sánchez,andrés.sánchez@gmail.com,3025956310,Cartagena
Carlos,Sánchez,carlos.sánchez@hotmail.com,3090587992,Bogotá
Pedro,Martínez,pedro.martínez@yahoo.com,3069321361,Cali
Sofía,Gómez,sofía.gómez@hotmail.com,3049368137,Bucaramanga
Carlos,Pérez,carlos.pérez@gmail.com,3178279118,Barranquilla
María,Rodríguez,maría.rodríguez@hotmail.com,3041074721,Bucaramanga
Daniela,Rodríguez,daniela.rodríguez@gmail.com,3059741068,Cúcuta
Ana,Ramírez,ana.ramírez@hotmail.com,3048403158,Cartagena
Ana,Martínez,ana.martínez@gmail.com,3066137617,Pereira
Carlos,Ramírez,carlos.ramírez@utb.edu.co,3149878668,Manizales
Camila,Pérez,camila.pérez@yahoo.com,3056463241,Bogotá
Pedro,Ramírez,pedro.ramírez@gmail.com,3075945664,Santa Marta
Pedro,Pérez,pedro.pérez@yahoo.com,3141974694,Cali
Andrés,Gómez,andrés.gómez@yahoo.com,3049492712,Cali
Ana,Ruiz,ana.ruiz@yahoo.com,3018061571,Bogotá
Luis,Sánchez,luis.sánchez@hotmail.com,3055185092,Bucaramanga
Sofía,Pérez,sofía.pérez@utb.edu.co,3111703571,Santa Marta
María,Pérez,maría.pérez@gmail.com,3034760619,Santa Marta
Luis,Torres,luis.torres@utb.edu.co,3182277459,Medellín
Camila,Ramírez,camila.ramírez@yahoo.com,3118024147,Manizales
Pedro,Gómez,pedro.gómez@gmail.com,3021148280,Pereira
Andrés,Pérez,andrés.pérez@yahoo.com,3055030819,Medellín
Laura,Ruiz,laura.ruiz@gmail.com,3190647621,Manizales
Andrés,Fernández,andrés.fernández@hotmail.com,3158215770,Manizales
María,Pérez,maría.pérez@yahoo.com,3104535735,Barranquilla
Camila,Sánchez,camila.sánchez@hotmail.com,3104937656,Medellín
Laura,Fernández,laura.fernández@hotmail.com,3098362884,Cúcuta
Luis,Martínez,luis.martínez@yahoo.com,3189395820,Santa Marta
Daniela,Gómez,daniela.gómez@yahoo.com,3197272976,Bucaramanga
Daniela,Pérez,daniela.pérez@gmail.com,3005900832,Manizales
Laura,Ruiz,laura.ruiz@yahoo.com,3188244705,Bogotá
Luis,Martínez,luis.martínez@hotmail.com,3088820639,Bogotá
Ana,Gómez,ana.gómez@hotmail.com,3051104035,Santa Marta
Sofía,Gómez,sofía.gómez@gmail.com,3152089860,Bogotá
Carlos,Martínez,carlos.martínez@yahoo.com,3114903029,Manizales
Pedro,Pérez,pedro.pérez@gmail.com,3160029189,Santa Marta
Camila,Gómez,camila.gómez@hotmail.com,3137708234,Santa Marta
María,López,maría.lópez@utb.edu.co,3121234750,Cali
Sofía,Torres,sofía.torres@hotmail.com,3167533666,Cali
Laura,Gómez,laura.gómez@yahoo.com,3194065992,Medellín
Laura,Sánchez,laura.sánchez@yahoo.com,3134368226,Santa Marta
Sofía,Torres,sofía.torres@gmail.com,3054509076,Cali
Sofía,López,sofía.lópez@utb.edu.co,3190709981,Pereira
Ana,Pérez,ana.pérez@gmail.com,3010644146,Barranquilla
Andrés,Torres,andrés.torres@yahoo.com,3045592246,Medellín
Andrés,Ruiz,andrés.ruiz@gmail.com,3072169367,Manizales
Pedro,Fernández,pedro.fernández@hotmail.com,3085912975,Cúcuta
Sofía,Pérez,sofía.pérez@yahoo.com,3137815209,Medellín
Ana,Ramírez,ana.ramírez@gmail.com,3124378397,Medellín
Laura,Ramírez,laura.ramírez@hotmail.com,3102504244,Bucaramanga
Carlos,Pérez,carlos.pérez@hotmail.com,3019147550,Bucaramanga
Ana,Fernández,ana.fernández@yahoo.com,3190692896,Cúcuta
Ana,Ruiz,ana.ruiz@gmail.com,3105633863,Cali
Luis,Ruiz,luis.ruiz@utb.edu.co,3048799715,Bucaramanga
Ana,Ruiz,ana.ruiz@utb.edu.co,3171284367,Medellín
Laura,Torres,laura.torres@yahoo.com,3056166081,Santa Marta
Carlos,Ruiz,carlos.ruiz@gmail.com,3065619642,Cúcuta
Laura,Martínez,laura.martínez@hotmail.com,3056608931,Barranquilla
Pedro,Ramírez,pedro.ramírez@hotmail.com,3048593855,Medellín
Laura,Ramírez,laura.ramírez@yahoo.com,3022877267,Bucaramanga
Pedro,Fernández,pedro.fernández@utb.edu.co,3084395358,Bucaramanga
Camila,López,camila.lópez@hotmail.com,3002745502,Manizales
Daniela,Sánchez,daniela.sánchez@hotmail.com,3122616592,Barranquilla
Camila,Rodríguez,camila.rodríguez@yahoo.com,3093088757,Santa Marta
Sofía,López,sofía.lópez@yahoo.com,3190488241,Bucaramanga
Andrés,Torres,andrés.torres@utb.edu.co,3064654574,Barranquilla
Camila,Martínez,camila.martínez@hotmail.com,3082141955,Barranquilla
Andrés,Pérez,andrés.pérez@gmail.com,3153747300,Bogotá
Andrés,Rodríguez,andrés.rodríguez@hotmail.com,3094942790,Medellín
Camila,Fernández,camila.fernández@utb.edu.co,3073248271,Pereira
María,Ramírez,maría.ramírez@utb.edu.co,3073389889,Manizales
Luis,Ramírez,luis.ramírez@hotmail.com,3143777163,Cúcuta
Andrés,López,andrés.lópez@gmail.com,3098941686,Cali
Daniela,Martínez,daniela.martínez@utb.edu.co,3095179470,Medellín
María,Torres,maría.torres@hotmail.com,3048151541,Medellín
Sofía,Pérez,sofía.pérez@gmail.com,3037538495,Cali
Camila,Pérez,camila.pérez@utb.edu.co,3037981579,Manizales
Carlos,Gómez,carlos.gómez@hotmail.com,3104951472,Cúcuta
Laura,Fernández,laura.fernández@yahoo.com,3192228342,Santa Marta
Laura,Pérez,laura.pérez@yahoo.com,3111533548,Cali
Laura,Ramírez,laura.ramírez@utb.edu.co,3098870150,Pereira
Andrés,Martínez,andrés.martínez@gmail.com,3067111296,Bogotá
Camila,Ruiz,camila.ruiz@gmail.com,3157133926,Barranquilla
Carlos,Torres,carlos.torres@yahoo.com,3053490203,Manizales
María,Fernández,maría.fernández@utb.edu.co,3081487963,Bucaramanga
Sofía,Ruiz,sofía.ruiz@hotmail.com,3023199057,Medellín
Ana,Pérez,ana.pérez@utb.edu.co,3064039974,Santa Marta
Andrés,López,andrés.lópez@hotmail.com,3069134629,Santa Marta
Carlos,Ramírez,carlos.ramírez@hotmail.com,3008057947,Bucaramanga
Pedro,Martínez,pedro.martínez@gmail.com,3168941357,Cali
Pedro,Torres,pedro.torres@hotmail.com,3006537394,Pereira
Carlos,Ruiz,carlos.ruiz@hotmail.com,3063454984,Bucaramanga
Carlos,Fernández,carlos.fernández@gmail.com,3045570605,Manizales
María,Sánchez,maría.sánchez@yahoo.com,3075712244,Santa Marta
Ana,Gómez,ana.gómez@gmail.com,3065687720,Medellín
Daniela,López,daniela.lópez@hotmail.com,3119237970,Pereira
Pedro,Torres,pedro.torres@utb.edu.co,3017455177,Pereira
Andrés,Torres,andrés.torres@gmail.com,3177281150,Cali
Ana,Fernández,ana.fernández@gmail.com,3118257696,Bogotá
Camila,Gómez,camila.gómez@utb.edu.co,3136717735,Medellín
Daniela,Sánchez,daniela.sánchez@gmail.com,3043444275,Pereira
Carlos,Rodríguez,carlos.rodríguez@gmail.com,3196370268,Cali
Carlos,Rodríguez,carlos.rodríguez@utb.edu.co,3001068376,Santa Marta
Daniela,Torres,daniela.torres@gmail.com,3010887246,Cúcuta
Camila,Ramírez,camila.ramírez@gmail.com,3192088205,Cali
Daniela,Ramírez,daniela.ramírez@hotmail.com,3141868174,Barranquilla
Ana,Torres,ana.torres@utb.edu.co,3166863940,Barranquilla
Laura,Torres,laura.torres@utb.edu.co,3075472973,Santa Marta
Camila,Sánchez,camila.sánchez@gmail.com,3130410526,Cartagena
Sofía,López,sofía.lópez@hotmail.com,3149645326,Manizales
Carlos,López,carlos.lópez@hotmail.com,3030058605,Cúcuta
Andrés,Martínez,andrés.martínez@yahoo.com,3147009733,Pereira
Laura,Pérez,laura.pérez@hotmail.com,3075317601,Bucaramanga
Andrés,López,andrés.lópez@yahoo.com,3010770650,Cali
Carlos,Gómez,carlos.gómez@yahoo.com,3026121416,Bucaramanga
Luis,Martínez,luis.martínez@gmail.com,3071244761,Pereira
Laura,López,laura.lópez@yahoo.com,3115603045,Bogotá
Camila,Torres,camila.torres@gmail.com,3072788296,Barranquilla
Laura,López,laura.lópez@utb.edu.co,3194719640,Manizales
Sofía,Pérez,sofía.pérez@hotmail.com,3085645754,Bogotá
Ana,Torres,ana.torres@yahoo.com,3061124674,Cartagena
María,López,maría.lópez@yahoo.com,3078066243,Manizales
Camila,Fernández,camila.fernández@yahoo.com,3110023173,Barranquilla
Sofía,Ramírez,sofía.ramírez@gmail.com,3162518228,Cali
Carlos,Martínez,carlos.martínez@hotmail.com,3192769141,Pereira
Laura,Rodríguez,laura.rodríguez@gmail.com,3030339277,Medellín
Laura,Pérez,laura.pérez@utb.edu.co,3170364817,Manizales
Camila,Torres,camila.torres@hotmail.com,3020083697,Santa Marta
Luis,Pérez,luis.pérez@gmail.com,3068704514,Medellín
Camila,Pérez,camila.pérez@hotmail.com,3189009865,Cartagena
Luis,Gómez,luis.gómez@hotmail.com,3015459576,Bogotá
Ana,Rodríguez,ana.rodríguez@utb.edu.co,3083492654,Bogotá
Carlos,Rodríguez,carlos.rodríguez@hotmail.com,3007907089,Bucaramanga
Pedro,Gómez,pedro.gómez@yahoo.com,3017296542,Pereira
Pedro,Rodríguez,pedro.rodríguez@hotmail.com,3080702607,Bucaramanga
Luis,Torres,luis.torres@hotmail.com,3132303014,Pereira
Pedro,Gómez,pedro.gómez@hotmail.com,3048777759,Pereira
Carlos,López,carlos.lópez@gmail.com,3182298602,Cartagena
Daniela,Fernández,daniela.fernández@yahoo.com,3161247342,Cali
Sofía,Ramírez,sofía.ramírez@yahoo.com,3114751926,Cúcuta
Ana,Sánchez,ana.sánchez@hotmail.com,3007395496,Medellín
Daniela,López,daniela.lópez@yahoo.com,3170454419,Santa Marta
Andrés,Sánchez,andrés.sánchez@utb.edu.co,3142486674,Barranquilla
Luis,Pérez,luis.pérez@hotmail.com,3114286614,Cartagena
Sofía,Ramírez,sofía.ramírez@hotmail.com,3138604640,Cali
Sofía,Sánchez,sofía.sánchez@yahoo.com,3043673019,Bucaramanga
María,Fernández,maría.fernández@yahoo.com,3117015876,Cartagena
Laura,Gómez,laura.gómez@hotmail.com,3132765452,Pereira
Daniela,Torres,daniela.torres@yahoo.com,3004431093,Pereira
Carlos,Ramírez,carlos.ramírez@yahoo.com,3039755137,Cúcuta
Sofía,Gómez,sofía.gómez@yahoo.com,3011484175,Cartagena
Carlos,Sánchez,carlos.sánchez@gmail.com,3173302428,Bogotá
Pedro,López,pedro.lópez@hotmail.com,3047780080,Cali
Luis,Ramírez,luis.ramírez@utb.edu.co,3146516087,Bucaramanga
Luis,Ruiz,luis.ruiz@yahoo.com,3027208128,Cúcuta
María,Ramírez,maría.ramírez@hotmail.com,3150519489,Cali
Carlos,Pérez,carlos.pérez@utb.edu.co,3129601744,Manizales
Ana,Ruiz,ana.ruiz@hotmail.com,3148944117,Cúcuta
Daniela,Rodríguez,daniela.rodríguez@utb.edu.co,3036593084,Cali
Andrés,Rodríguez,andrés.rodríguez@gmail.com,3077528978,Santa Marta
Luis,Pérez,luis.pérez@utb.edu.co,3088134105,Medellín
Laura,Martínez,laura.martínez@utb.edu.co,3140587477,Medellín
Carlos,Ruiz,carlos.ruiz@yahoo.com,3146226414,Cali
Camila,Gómez,camila.gómez@gmail.com,3134195136,Medellín
Pedro,Pérez,pedro.pérez@hotmail.com,3102885050,Pereira
Laura,Torres,laura.torres@hotmail.com,3106920512,Pereira
Sofía,Sánchez,sofía.sánchez@utb.edu.co,3173389121,Bogotá
Daniela,Pérez,daniela.pérez@hotmail.com,3020243212,Pereira
Andrés,Ruiz,andrés.ruiz@hotmail.com,3090517562,Bucaramanga
Andrés,Sánchez,andrés.sánchez@yahoo.com,3090940732,Cúcuta
Daniela,López,daniela.lópez@gmail.com,3014808018,Medellín
Ana,Martínez,ana.martínez@hotmail.com,3186151715,Pereira
Pedro,Sánchez,pedro.sánchez@utb.edu.co,3076287728,Bogotá
Luis,Fernández,luis.fernández@hotmail.com,3005213502,Barranquilla
Pedro,Fernández,pedro.fernández@gmail.com,3045366059,Cartagena
Luis,Fernández,luis.fernández@utb.edu.co,3075221993,Cali
Sofía,Fernández,sofía.fernández@gmail.com,3006308638,Bucaramanga
Camila,Ruiz,camila.ruiz@hotmail.com,3001649848,Bogotá
Andrés,Ruiz,andrés.ruiz@yahoo.com,3131947779,Barranquilla
Ana,Rodríguez,ana.rodríguez@hotmail.com,3150262615,Cúcuta
Pedro,Rodríguez,pedro.rodríguez@gmail.com,3104870860,Santa Marta
María,Ramírez,maría.ramírez@yahoo.com,3169091090,Cúcuta
Carlos,Ramírez,carlos.ramírez@gmail.com,3132087758,Barranquilla
Daniela,Rodríguez,daniela.rodríguez@yahoo.com,3110245124,Cúcuta
Carlos,Fernández,carlos.fernández@yahoo.com,3172248049,Bucaramanga
Sofía,Ramírez,sofía.ramírez@utb.edu.co,3050818454,Santa Marta
Pedro,Torres,pedro.torres@gmail.com,3067535337,Barranquilla
Luis,López,luis.lópez@utb.edu.co,3049966775,Manizales
Laura,Torres,laura.torres@gmail.com,3078443732,Cartagena
Camila,Rodríguez,camila.rodríguez@gmail.com,3194657561,Pereira
Andrés,Sánchez,andrés.sánchez@hotmail.com,3150035393,Barranquilla
Pedro,Gómez,pedro.gómez@utb.edu.co,3037897040,Cartagena
Luis,Rodríguez,luis.rodríguez@hotmail.com,3037318318,Barranquilla
Daniela,Ruiz,daniela.ruiz@gmail.com,3066295549,Cali
Pedro,Ramírez,pedro.ramírez@utb.edu.co,3030766896,Barranquilla
Daniela,Torres,daniela.torres@utb.edu.co,3061006852,Bogotá
Andrés,Pérez,andrés.pérez@utb.edu.co,3076287033,Barranquilla
Daniela,Martínez,daniela.martínez@hotmail.com,3116826924,Barranquilla
Ana,Torres,ana.torres@hotmail.com,3044349510,Barranquilla
Pedro,Sánchez,pedro.sánchez@hotmail.com,3046905618,Medellín
Sofía,Fernández,sofía.fernández@utb.edu.co,3105893930,Pereira
Andrés,López,andrés.lópez@utb.edu.co,3085445375,Cartagena
Luis,Ruiz,luis.ruiz@hotmail.com,3001221046,Bucaramanga
Ana,Fernández,ana.fernández@utb.edu.co,3001335974,Manizales
Luis,Torres,luis.torres@yahoo.com,3008724694,Bucaramanga
María,Gómez,maría.gómez@hotmail.com,3180189882,Cali
Luis,Ramírez,luis.ramírez@yahoo.com,3089296789,Pereira
María,Pérez,maría.pérez@utb.edu.co,3080464902,Cúcuta
Pedro,Sánchez,pedro.sánchez@gmail.com,3133689497,Pereira
Luis,Rodríguez,luis.rodríguez@yahoo.com,3055498833,Cali
Luis,Sánchez,luis.sánchez@utb.edu.co,3067365927,Cúcuta
Ana,Gómez,ana.gómez@yahoo.com,3083990044,Bucaramanga
María,Torres,maría.torres@yahoo.com,3141813300,Cartagena
Pedro,Martínez,pedro.martínez@hotmail.com,3023542413,Pereira
Carlos,Ruiz,carlos.ruiz@utb.edu.co,3140526783,Cúcuta
Ana,Sánchez,ana.sánchez@gmail.com,3025073638,Bucaramanga
Laura,Gómez,laura.gómez@utb.edu.co,3171637279,Pereira
Ana,Sánchez,ana.sánchez@yahoo.com,3158251366,Barranquilla
